2012-12-23 12:59:14.26 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Desktop Engine on Windows NT 5.1 (Build 2600: Service Pack 3)

2012-12-23 12:59:14.37 server    Copyright (C) 1988-2002 Microsoft Corporation.
2012-12-23 12:59:14.37 server    保留所有权利。
2012-12-23 12:59:14.37 server    服务器进程 ID 是 152。
2012-12-23 12:59:14.37 server    将 SQL Server 消息记录在文件“E:\PB源码\pb9\通用进~1\川北机电\sql2000\Log\SQL日志.Log”中。
2012-12-23 12:59:14.46 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2012-12-23 12:59:14.85 server    已为 thread 模式处理而配置了 SQL Server。
2012-12-23 12:59:14.85 server    使用 dynamic 锁分配。[500] 锁块，[1000] 锁所有者块。
2012-12-23 12:59:14.89 spid3     启动数据库“master”。
2012-12-23 12:59:17.14 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2012-12-23 12:59:17.15 spid5     启动数据库“model”。
2012-12-23 12:59:17.23 server    SQL Server 正在监听 192.168.1.5: 7788。
2012-12-23 12:59:17.23 server    SQL Server 正在监听 127.0.0.1: 7788。
2012-12-23 12:59:17.26 spid3     服务器名称是“XP-201007150744\MYSQL”。
2012-12-23 12:59:17.26 spid3     Skipping startup of clean database id 4
2012-12-23 12:59:17.28 spid3     Skipping startup of clean database id 5
2012-12-23 12:59:17.28 spid3     Skipping startup of clean database id 6
2012-12-23 12:59:17.29 spid3     Skipping startup of clean database id 7
2012-12-23 12:59:17.29 spid3     Skipping startup of clean database id 8
2012-12-23 12:59:17.32 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2012-12-23 12:59:17.34 server    SQL Server 已准备好进行客户端连接
2012-12-23 12:59:18.96 spid5     清除 tempdb 数据库。
2012-12-23 12:59:24.51 spid5     启动数据库“tempdb”。
2012-12-23 12:59:35.14 spid3     恢复完成。
2010-12-01 16:00:58.01 server    由于系统关闭，SQL Server 将终止运行。
